Acousticness,Danceability,Energy,Genre,Instrumental,Key,Liveness,Loudness,Speechness,Tempo,Valence
0.53,0.488,0.604,rock,3.84E-06,9,0.358,-7.48,0.272,64.218,0.431
0.396,0.493,0.746,rock,1.39E-06,7,0.211,-5.914,0.0464,92.758,0.527
0.0673,0.732,0.579,rock,0.000759,5,0.0548,-12.224,0.0725,171.657,0.906
0.499,0.473,0.38,rock,3.51E-05,1,0.103,-7.862,0.0271,81.444,0.225
0.391,0.557,0.703,rock,0,7,0.0774,-6.928,0.0306,90.018,0.514
0.2,0.508,0.681,rock,6.24E-05,8,0.143,-6.405,0.0251,113.155,0.803
0.0323,0.494,0.933,rock,0,9,0.349,-4.773,0.0949,120.346,0.303
0.995,0.534,0.239,rock,0,11,0.719,-10.034,0.362,185.62,0.287
0.0111,0.558,0.789,rock,0,11,0.281,-4.94,0.0294,104.073,0.414
0.0188,0.355,0.864,rock,0.0542,9,0.968,-6.053,0.0393,123.805,0.269
0.00245,0.247,0.725,rock,0.103,9,0.0346,-5.722,0.0351,103.817,0.555
0.148,0.443,0.669,rock,6.35E-05,7,0.143,-6.228,0.0274,101.757,0.276
0.0189,0.488,0.845,rock,0,0,0.257,-6.612,0.0565,159.73,0.831
0.0289,0.558,0.943,rock,0.499,9,0.16,-5.496,0.154,157.389,0.751
0.00746,0.638,0.774,rock,2.77E-05,7,0.177,-7.875,0.0246,116.038,0.96
0.151,0.445,0.683,rock,1.22E-05,0,0.312,-6.06,0.0309,141.707,0.478
0.0112,0.809,0.459,rock,0.000331,11,0.0744,-15.211,0.0538,127.439,0.845
0.149,0.528,0.453,rock,0.0119,7,0.09,-13.147,0.0275,179.278,0.452
0.161,0.72,0.544,rock,0.00187,2,0.284,-12.931,0.0254,111.022,0.867
0.232,0.733,0.648,rock,6.33E-06,11,0.0932,-7.473,0.035,124.246,0.803
0.02,0.631,0.862,rock,2.77E-06,9,0.127,-4.763,0.0292,136.099,0.945
0.00172,0.517,0.645,rock,0.0582,9,0.0589,-6.678,0.0392,88.091,0.643
8.96E-05,0.361,0.777,rock,0.0119,7,0.296,-7.609,0.0554,105.74,0.646
0.0711,0.356,0.686,rock,3.47E-05,0,0.101,-8.241,0.136,146.218,0.616
0.00339,0.472,0.804,rock,0.00621,2,0.0532,-7.283,0.0319,106.632,0.728
0.0539,0.591,0.706,rock,3.21E-06,5,0.596,-7.339,0.0274,100.396,0.76
0.0148,0.596,0.58,rock,0.00573,9,0.241,-7.138,0.0759,123.216,0.524
0.0774,0.65,0.897,rock,0,0,0.0453,-6.73,0.0534,121.918,0.512
0.137,0.384,0.422,rock,0.000399,2,0.783,-10.654,0.0348,177.936,0.261
0.215,0.332,0.453,rock,0.00838,2,0.106,-7.882,0.0299,76.327,0.304
0.174,0.522,0.703,rock,0.106,9,0.277,-8.46,0.0694,114.311,0.752
0.513,0.453,0.565,rock,7.40E-06,7,0.321,-8.766,0.0921,141.061,0.325
0.033,0.699,0.653,rock,8.79E-06,4,0.196,-7.576,0.119,153.211,0.888
0.855,0.591,0.299,rock,0.00142,4,0.112,-12.213,0.0418,99.701,0.101
0.0017,0.612,0.775,rock,0.00125,6,0.309,-6.028,0.116,93.524,0.782
0.0193,0.59,0.627,rock,0.0022,5,0.363,-6.373,0.0322,105.181,0.556
0.647,0.536,0.532,rock,0,0,0.341,-8.62,0.0312,140.364,0.426
0.00431,0.51,0.962,rock,0.000969,7,0.152,-6.823,0.103,124.412,0.288
0.429,0.442,0.865,rock,0.0146,8,0.0718,-7.367,0.0392,171.06,0.9
0.0601,0.621,0.678,rock,8.21E-06,11,0.319,-5.907,0.0456,114.955,0.848
0.186,0.405,0.861,rock,0.0104,0,0.241,-6.42,0.0815,109.184,0.641
0.131,0.817,0.536,rock,1.90E-05,11,0.0752,-6.701,0.234,123.906,0.593
0.374,0.72,0.47,rock,3.55E-06,9,0.328,-7.183,0.025,97.33,0.244
0.241,0.576,0.785,rock,5.19E-06,10,0.131,-5.887,0.0419,108.505,0.335
0.209,0.443,0.562,rock,2.86E-06,7,0.326,-6.572,0.0292,138.173,0.262
0.0213,0.685,0.8,rock,1.61E-05,2,0.052,-4.673,0.0326,120.96,0.741
0.000324,0.551,0.743,rock,7.61E-05,11,0.0673,-5.174,0.0306,120.456,0.428
0.0974,0.465,0.774,rock,0,5,0.0453,-5.077,0.0292,95.818,0.589
0.0142,0.497,0.662,rock,0.0859,7,0.111,-8.89,0.0473,113.962,0.27
0.333,0.698,0.736,rock,0.802,4,0.0938,-9.103,0.0457,154.793,0.911
0.594,0.661,0.402,rock,0.00649,6,0.124,-10.898,0.0286,95.202,0.692
0.546,0.368,0.389,rock,0.00575,10,0.272,-8.573,0.0365,172.042,0.166
0.406,0.488,0.627,rock,0.06,2,0.0939,-6.984,0.0288,116.039,0.455
0.18,0.434,0.451,rock,8.67E-05,7,0.199,-9.036,0.0297,134.074,0.138
0.0726,0.605,0.583,rock,0.0143,10,0.0768,-8.064,0.0337,111.745,0.774
0.782,0.295,0.259,rock,2.94E-06,8,0.13,-9.364,0.03,138.323,0.0699
0.284,0.308,0.534,rock,0.0159,4,0.12,-9.189,0.0352,94.771,0.214
0.465,0.468,0.373,rock,1.67E-05,1,0.118,-7.955,0.027,81.197,0.248
0.231,0.681,0.503,rock,0.00982,1,0.119,-8.042,0.0315,115.165,0.449
0.042,0.692,0.929,rock,4.84E-05,9,0.0989,-6.219,0.0363,92.014,0.921
0.111,0.551,0.878,rock,0.000915,7,0.178,-6.063,0.0664,132.174,0.802
0.0388,0.648,0.705,rock,0.00384,9,0.0468,-6.562,0.0312,108.156,0.81
0.0458,0.663,0.77,rock,2.49E-06,7,0.737,-5.437,0.0324,123.115,0.92
0.0926,0.539,0.599,rock,0.567,4,0.47,-8.391,0.0275,131.312,0.56
0.147,0.52,0.783,rock,0,7,0.603,-5.702,0.0303,100.91,0.65
0.16,0.571,0.887,rock,0.00132,2,0.375,-7.057,0.0471,97.985,0.609
0.137,0.408,0.68,rock,4.89E-06,0,0.291,-6.057,0.0314,141.549,0.526
0.174,0.584,0.852,rock,0.00176,2,0.133,-7.029,0.0484,167.986,0.912
0.0327,0.636,0.803,rock,0.000142,9,0.191,-7.198,0.0358,120.949,0.486
0.0253,0.7,0.535,rock,0.000178,0,0.413,-8.454,0.027,84,0.274
0.12,0.679,0.591,rock,0.000309,0,0.0867,-8.82,0.0474,123.991,0.606
0.0361,0.613,0.862,rock,0.000109,4,0.194,-6.669,0.0338,143.955,0.783
0.00226,0.431,0.636,rock,1.47E-05,7,0.147,-7.803,0.0305,83.901,0.283
0.194,0.343,0.606,rock,8.52E-06,9,0.23,-7.222,0.0461,142.04,0.298
0.261,0.657,0.523,rock,0.000474,5,0.125,-7.893,0.0261,94.014,0.295
0.801,0.686,0.572,rock,0.000477,8,0.0976,-8.397,0.0412,113.985,0.516
0.225,0.52,0.638,rock,0.00222,5,0.24,-8.649,0.0759,120.848,0.724
0.483,0.527,0.547,rock,0.00123,11,0.632,-6.955,0.0244,164.083,0.44
0.375,0.641,0.51,rock,0.00278,5,0.0885,-9.446,0.0545,73.909,0.439
0.0452,0.649,0.594,rock,0.000534,0,0.256,-7.837,0.0303,116.126,0.449
0.26,0.631,0.867,rock,6.64E-05,4,0.353,-5.584,0.0535,145.643,0.948
0.136,0.612,0.735,rock,0.0082,2,0.117,-6.691,0.0379,98.058,0.778
0.171,0.521,0.69,rock,8.58E-05,7,0.34,-7.211,0.0276,93.231,0.573
0.103,0.692,0.907,rock,1.06E-05,11,0.0612,-6.549,0.132,93.024,0.66
0.75,0.724,0.508,rock,0.000777,11,0.117,-12.675,0.0331,154.649,0.328
0.0681,0.587,0.838,rock,3.71E-06,11,0.976,-6.748,0.0427,88.004,0.687
0.0596,0.602,0.803,rock,0.00026,0,0.263,-7.2,0.0344,87.976,0.694
0.189,0.505,0.719,rock,0.169,4,0.985,-10.193,0.0505,116.636,0.122
0.0121,0.566,0.874,rock,0,8,0.202,-5.13,0.0515,133.904,0.645
0.00737,0.353,0.56,rock,0.00127,4,0.37,-7.797,0.0287,98.839,0.296
0.0861,0.212,0.521,rock,0.000547,2,0.199,-10.794,0.0388,68.746,0.402
0.0764,0.398,0.742,rock,0.000536,0,0.207,-4.682,0.0332,141.263,0.495
0.0446,0.625,0.735,rock,0.00153,9,0.0757,-5.237,0.0365,108.258,0.836
0.0545,0.35,0.596,rock,0.00288,2,0.154,-6.783,0.0262,90.171,0.314
0.165,0.793,0.687,rock,0,9,0.0542,-8.936,0.0326,131.941,0.872
0.0753,0.553,0.439,rock,0,9,0.0881,-11.559,0.0888,172.802,0.816
0.176,0.697,0.599,rock,0.134,4,0.104,-11.165,0.0428,154.897,0.914
0.601,0.591,0.931,rock,0.000175,4,0.345,-6.481,0.0401,130.9,0.422
0.126,0.54,0.485,rock,0.000937,5,0.136,-11.074,0.071,120.648,0.743
0.138,0.658,0.781,rock,6.92E-06,2,0.119,-10.182,0.0612,137.661,0.805
0.00211,0.308,0.645,rock,0.177,9,0.0278,-8.146,0.0306,102.917,0.528
0.923,0.233,0.226,rock,0.000144,6,0.128,-10.876,0.0306,81.05,0.275
0.000784,0.482,0.726,rock,0.00494,2,0.112,-9.352,0.0324,106.558,0.76
0.45,0.343,0.437,rock,1.68E-06,3,0.101,-8.952,0.0338,90.726,0.369
0.157,0.577,0.728,rock,0,4,0.181,-7.278,0.0286,137.435,0.827
0.868,0.574,0.187,rock,1.61E-06,8,0.111,-12.23,0.0298,78.166,0.115
0.48,0.441,0.51,rock,0.000446,4,0.255,-8.282,0.0317,133.41,0.299
0.752,0.545,0.703,rock,0,2,0.104,-5.672,0.0315,139.49,0.964
0.143,0.695,0.523,rock,0.194,4,0.107,-12.817,0.043,154.882,0.842
